
Action, AppName, Windows, macOS, Linux
Select All, Sublime Text 3, Ctrl+A, Cmd+A, Ctrl+A
Select All, VS Code, Ctrl+A, Cmd+A, Ctrl+A
Select All, Visual Studio, Ctrl+A,, Ctrl+A
Select All, Android Studio, Ctrl+A, Cmd+A, Ctrl+A
Select All, XCode,, Cmd+A,
Select All, Netbeans, Ctrl+A, Cmd+A, Ctrl+A
Select All, Eclipse, Ctrl+A, Cmd+A, Ctrl+A
Select All, Netbeans, Ctrl+A, Cmd+A, Ctrl+A
Select All, TextMate,, Cmd+A,
Select All, Notepad++, Ctrl+A,,
Select All, IntelliJ, Ctrl+A, Cmd+A, Ctrl+A
Select All, WebStorm, Ctrl+A, Cmd+A, Ctrl+A
Select All, PhpStorm, Ctrl+A, Cmd+A, Ctrl+A
Find All Matching, Sublime Text 3, Alt+F3, Cmd+Ctrl+G, Alt+F3
Find All Matching, VS Code, Ctrl+Shift+L, Cmd+Shift+L, Ctrl+Shift+L
Multi-cursor up, Sublime Text 3, Ctrl+Alt+Up, Ctrl+Shift+Up, Ctrl+Alt+Up
Multi-cursor down, Sublimte Text 3, Ctrl+Alt+Down, Ctrl+Shift+Down, Ctrl+Alt+Down
Multi-cursor up, VS Code, Ctrl+Alt+Up, Cmd+Alt+Up, Ctrl+Alt+Up
Multi-cursor down, VS Code, Ctrl+Alt+Down, Cmd+Alt+Down, Ctrl+Alt+Down
